Date;Price;;;;;
22.01.2024;125;;;;;
19.01.2024;129,4;;;;;
18.01.2024;129,5;;;;;
17.01.2024;129,2;;;;;
16.01.2024;132,7;;;;;
15.01.2024;134,2;;;;;
12.01.2024;133,5;;;;;
11.01.2024;134,8;;;;;
10.01.2024;134,9;;;;;
09.01.2024;135,4;;;;;
08.01.2024;133,3;;;;;
05.01.2024;129,7;;;;;
04.01.2024;129,6;;;;;
03.01.2024;128;;;;;
29.12.2023;128;;;;;
28.12.2023;128,5;;;;;
27.12.2023;128,8;;;;;
22.12.2023;128,2;;;;;
21.12.2023;127;;;;;
20.12.2023;127,8;;;;;
19.12.2023;128,8;;;;;
18.12.2023;128,6;;;;;
15.12.2023;127,7;;;;;
14.12.2023;127,5;;;;;
13.12.2023;127,2;;;;;
12.12.2023;128,2;;;;;
11.12.2023;127,3;;;;;
08.12.2023;126,4;;;;;
07.12.2023;126;;;;;
06.12.2023;125,8;;;;;
05.12.2023;127,5;;;;;
04.12.2023;125,5;;;;;
29.11.2023;128,7;;;;;
28.11.2023;123;;;;;
27.11.2023;122,5;;;;;
24.11.2023;121,1;;;;;
23.11.2023;120;;;;;
22.11.2023;119,7;;;;;
21.11.2023;119,8;;;;;
20.11.2023;119,8;;;;;
17.11.2023;118,9;;;;;
16.11.2023;119,5;;;;;
15.11.2023;119,5;;;;;
14.11.2023;119,1;;;;;
13.11.2023;118,8;;;;;
10.11.2023;118;;;;;
09.11.2023;117,8;;;;;
08.11.2023;118;;;;;
07.11.2023;117,5;;;;;
06.11.2023;117,9;;;;;
03.11.2023;117;;;;;
02.11.2023;117;;;;;
01.11.2023;116,3;;;;;
31.10.2023;116,7;;;;;
30.10.2023;118;;;;;
27.10.2023;118;;;;;
26.10.2023;116,7;;;;;
25.10.2023;116,6;;;;;
24.10.2023;116,8;;;;;
23.10.2023;116;;;;;
20.10.2023;116,7;;;;;
19.10.2023;116,5;;;;;
18.10.2023;117;;;;;
17.10.2023;117,5;;;;;
16.10.2023;117,5;;;;;
13.10.2023;118;;;;;
12.10.2023;118;;;;;
11.10.2023;117,5;;;;;
10.10.2023;117;;;;;
09.10.2023;117;;;;;
06.10.2023;117;;;;;
05.10.2023;117,6;;;;;
04.10.2023;118,1;;;;;
03.10.2023;120;;;;;
02.10.2023;120,5;;;;;
29.09.2023;120;;;;;
28.09.2023;119,5;;;;;
27.09.2023;119,5;;;;;
26.09.2023;119,7;;;;;
25.09.2023;120,5;;;;;
22.09.2023;120;;;;;
21.09.2023;119,5;;;;;
20.09.2023;120,2;;;;;
19.09.2023;119;;;;;
18.09.2023;117,7;;;;;
15.09.2023;119;;;;;
14.09.2023;116,7;;;;;
13.09.2023;115,4;;;;;
12.09.2023;114,3;;;;;
11.09.2023;114,1;;;;;
08.09.2023;113,8;;;;;
07.09.2023;114;;;;;
06.09.2023;113,7;;;;;
05.09.2023;112,7;;;;;
04.09.2023;112,9;;;;;
01.09.2023;112,7;;;;;
31.08.2023;113;;;;;
30.08.2023;113,4;;;;;
29.08.2023;112,5;;;;;
28.08.2023;111,7;;;;;
25.08.2023;111,5;;;;;
24.08.2023;111,5;;;;;
23.08.2023;111,7;;;;;
22.08.2023;111,2;;;;;
21.08.2023;111;;;;;
18.08.2023;110,5;;;;;
17.08.2023;111;;;;;
16.08.2023;111,1;;;;;
14.08.2023;111;;;;;
11.08.2023;109,5;;;;;
10.08.2023;109,8;;;;;
09.08.2023;109;;;;;
08.08.2023;108;;;;;
07.08.2023;109;;;;;
04.08.2023;108,8;;;;;
03.08.2023;109,5;;;;;
02.08.2023;111;;;;;
01.08.2023;111,9;;;;;
31.07.2023;112,2;;;;;
28.07.2023;112,9;;;;;
27.07.2023;112;;;;;
26.07.2023;111,9;;;;;
25.07.2023;112,8;;;;;
24.07.2023;112,8;;;;;
21.07.2023;113,7;;;;;
20.07.2023;113,5;;;;;
19.07.2023;113;;;;;
18.07.2023;113;;;;;
17.07.2023;111,8;;;;;
14.07.2023;111,5;;;;;
13.07.2023;110;;;;;
12.07.2023;110;;;;;
06.07.2023;104;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
