"Date","Price","Open","High","Low","Vol.","Change.."
2018-06-19,98.81,98.76,101.45,97.08,"988.71K","0.06%"
2018-06-18,98.76,95.07,99.71,93.19,"1.08M","3.88%"
2018-06-17,95.07,96.72,98.11,94.81,"813.89K","-1.71%"
2018-06-16,96.72,95.71,97.57,92.97,"911.61K","1.06%"
2018-06-15,95.71,100.95,100.98,94.85,"1.06M","-5.20%"
2018-06-14,100.95,93.7,102.72,92.83,"1.46M","7.72%"
2018-06-13,93.71,100.04,100.44,89.35,"1.69M","-6.33%"
2018-06-12,100.05,107.17,107.81,97.91,"1.26M","-6.64%"
2018-06-11,107.16,106.7,108.51,103.16,"1.11M","0.43%"
2018-06-10,106.7,117.6,117.61,103.12,"1.64M","-9.27%"
2018-06-09,117.6,120,120.99,117.31,"604.70K","-2.01%"
2018-06-08,120,121.58,122.27,118.22,"840.22K","-1.29%"
2018-06-07,121.58,121.39,123.66,119.58,"1.40M","0.15%"
2018-06-06,121.39,122.21,122.71,118.43,"1.11M","-0.66%"
2018-06-05,122.21,119.88,122.49,116.31,"888.05K","1.94%"
2018-06-04,119.88,125.2,126.86,118.41,"843.45K","-4.23%"
2018-06-03,125.17,123.48,127.86,122.4,"890.99K","1.36%"
2018-06-02,123.49,120.33,124.32,118.95,"881.17K","2.62%"
2018-06-01,120.33,118.46,120.47,117.09,"803.17K","1.58%"
2018-05-31,118.46,117.47,120.91,116.5,"879.34K","0.84%"
2018-05-30,117.47,119.54,122.7,115.41,"886.61K","-1.73%"
2018-05-29,119.54,111.17,122.64,110.03,"1.13M","7.52%"
2018-05-28,111.18,117.97,119.18,110.59,"994.42K","-5.75%"
2018-05-27,117.96,118.63,119.08,116.98,"763.81K","-0.56%"
2018-05-26,118.63,119.1,122.32,117.64,"786.15K","-0.40%"
2018-05-25,119.1,122.98,124.46,117.08,"921.10K","-3.16%"
2018-05-24,122.99,118.55,124.84,115.18,"1.19M","3.69%"
