Date;AQ232683
31.07.2023;78,356
28.07.2023;77,643
27.07.2023;77,412
26.07.2023;79,342
25.07.2023;78,26
24.07.2023;78,931
21.07.2023;78,593
20.07.2023;79,029
19.07.2023;79,38
18.07.2023;78,892
17.07.2023;78,488
14.07.2023;78,366
13.07.2023;78,341
12.07.2023;77,53
11.07.2023;77,284
10.07.2023;76,27
07.07.2023;76,084
06.07.2023;75,786
05.07.2023;78,299
03.07.2023;78,451
30.06.2023;79,245
29.06.2023;78,203
28.06.2023;79,208
27.06.2023;78,9
26.06.2023;79,171
23.06.2023;79,672
22.06.2023;78,943
21.06.2023;78,235
20.06.2023;79,515
16.06.2023;79,498
15.06.2023;79,335
14.06.2023;79,017
13.06.2023;77,675
12.06.2023;78,304
09.06.2023;78,295
08.06.2023;78,311
07.06.2023;78,117
06.06.2023;79,201
05.06.2023;78,575
02.06.2023;78,41
01.06.2023;79,247
31.05.2023;78,787
30.05.2023;78,186
26.05.2023;76,98
25.05.2023;76,647
24.05.2023;76,829
23.05.2023;77,316
22.05.2023;76,786
19.05.2023;77,279
18.05.2023;76,995
17.05.2023;77,717
16.05.2023;77,804
15.05.2023;77,677
12.05.2023;78,156
11.05.2023;78,955
10.05.2023;77,934
09.05.2023;78,314
08.05.2023;77,3
05.05.2023;78,541
04.05.2023;78,962
03.05.2023;80,17
02.05.2023;79,378
01.05.2023;78,432
28.04.2023;80,385
27.04.2023;79,358
26.04.2023;79,81
25.04.2023;80,725
24.04.2023;80,07
21.04.2023;79,328
20.04.2023;79,761
19.04.2023;78,81
18.04.2023;79,369
17.04.2023;79,364
14.04.2023;79,419
13.04.2023;80,048
12.04.2023;81,624
11.04.2023;80,502
10.04.2023;80,294
07.04.2023;80,275
06.04.2023;81,243
05.04.2023;80,853
04.04.2023;80,757
03.04.2023;80,342
31.03.2023;80,329
30.03.2023;78,555
29.03.2023;76,157
28.03.2023;75,546
27.03.2023;74,668
24.03.2023;75,953
23.03.2023;75,257
22.03.2023;75,869
21.03.2023;75,386
20.03.2023;75,795
17.03.2023;76,84
16.03.2023;76,649
15.03.2023;77,209
14.03.2023;75,971
13.03.2023;77,014
10.03.2023;78,49
09.03.2023;78,605
08.03.2023;78,207
07.03.2023;78,317
06.03.2023;79,06
03.03.2023;77,79
02.03.2023;77,009
01.03.2023;77,738
28.02.2023;78,171
27.02.2023;78,225
24.02.2023;77,747
23.02.2023;78,76
22.02.2023;78,375
21.02.2023;78,159
17.02.2023;80,102
16.02.2023;79,497
15.02.2023;80,355
14.02.2023;81,797
13.02.2023;81,98
10.02.2023;80,387
09.02.2023;82,25
08.02.2023;83,595
07.02.2023;82,085
06.02.2023;82,586
03.02.2023;84,191
02.02.2023;84,322
01.02.2023;84,609
31.01.2023;84,045
30.01.2023;84,5
27.01.2023;84,17
26.01.2023;83,76
25.01.2023;83,903
24.01.2023;84,403
23.01.2023;82,819
20.01.2023;83,766
19.01.2023;84,845
18.01.2023;84,223
17.01.2023;82,57
13.01.2023;82,936
12.01.2023;83,182
11.01.2023;82,879
10.01.2023;81,86
09.01.2023;82,495
06.01.2023;81,838
05.01.2023;80,925
04.01.2023;78,281
03.01.2023;79,995
30.12.2022;77,261
29.12.2022;76,495
28.12.2022;76,574
27.12.2022;78,129
23.12.2022;79,242
22.12.2022;80,076
21.12.2022;79,656
20.12.2022;79,744
19.12.2022;80,793
16.12.2022;82,215
15.12.2022;82,65
